tax	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species
Bacteria;Bacteria_none;Balneolaeota;Balneolia;Balneolales;Balneolaceae;Balneola;Balneola vulgaris	Bacteria	Bacteria_none	Balneolaeota	Balneolia	Balneolales	Balneolaceae	Balneola	Balneola vulgaris
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Roseovarius;Roseovarius pacificus	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseovarius	Roseovarius pacificus
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus mojavensis	Bacteria	Bacteria_none	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus mojavensis
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Nitratireductor;Nitratireductor aquibiodomus	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Nitratireductor	Nitratireductor aquibiodomus
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Maribacter;Maribacter aurantiacus	Bacteria	Bacteria_none	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maribacter	Maribacter aurantiacus
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae	Bacteria	Bacteria_none	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia marmotae
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassobaculaceae;Thalassobaculum;Thalassobaculum fulvum	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Thalassobaculaceae	Thalassobaculum	Thalassobaculum fulvum
Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Roseivirgaceae;Roseivirga;Roseivirga marina	Bacteria	Bacteria_none	Bacteroidota	Cytophagia	Cytophagales	Roseivirgaceae	Roseivirga	Roseivirga marina
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus subtilis	Bacteria	Bacteria_none	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Seohaeicola;Seohaeicola saemankumensis	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Seohaeicola	Seohaeicola saemankumensis
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Muricauda;Muricauda alvinocaridis	Bacteria	Bacteria_none	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Muricauda	Muricauda alvinocaridis
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus argenteus	Bacteria	Bacteria_none	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus argenteus
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus inaquosorum	Bacteria	Bacteria_none	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus inaquosorum
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Hoeflea;Hoeflea phototrophica	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Hoeflea	Hoeflea phototrophica
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Qipengyuania;Qipengyuania qiaonensis	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Qipengyuania	Qipengyuania qiaonensis
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Oricola;Oricola indica	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Oricola	Oricola indica
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Alcanivorax;Alcanivorax venustensis	Bacteria	Bacteria_none	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax venustensis
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus simiae	Bacteria	Bacteria_none	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus simiae
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Euzebyella;Euzebyella saccharophila	Bacteria	Bacteria_none	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Euzebyella	Euzebyella saccharophila
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae;Nocardioides;Nocardioides marinus	Bacteria	Bacteria_none	Actinobacteria	Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides marinus
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria;Listeria marthii	Bacteria	Bacteria_none	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria marthii
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis;Sphingopyxis chilensis	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis chilensis
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria;Listeria farberi	Bacteria	Bacteria_none	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria farberi
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Gimesia;Gimesia chilikensis	Bacteria	Bacteria_none	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	Gimesia	Gimesia chilikensis
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Maricaulales;Maricaulaceae;Oceanicaulis;Oceanicaulis alexandrii	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Maricaulales	Maricaulaceae	Oceanicaulis	Oceanicaulis alexandrii
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Muricauda;Muricauda ruestringensis	Bacteria	Bacteria_none	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Muricauda	Muricauda ruestringensis
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cabrialesii	Bacteria	Bacteria_none	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cabrialesii
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus schweitzeri	Bacteria	Bacteria_none	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus schweitzeri
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae;Thalassospira;Thalassospira xianhensis	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Thalassospiraceae	Thalassospira	Thalassospira xianhensis
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Qipengyuania;Qipengyuania flava	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Qipengyuania	Qipengyuania flava
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Bremerella;Bremerella alba	Bacteria	Bacteria_none	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Bremerella	Bremerella alba
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassobaculaceae;Nisaea;Nisaea sediminum	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Thalassobaculaceae	Nisaea	Nisaea sediminum
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Muricauda;Muricauda profundi	Bacteria	Bacteria_none	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Muricauda	Muricauda profundi
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Fictibacillus;Fictibacillus rigui	Bacteria	Bacteria_none	Firmicutes	Bacilli	Bacillales	Bacillaceae	Fictibacillus	Fictibacillus rigui
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Gimesia;Gimesia panareensis	Bacteria	Bacteria_none	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	Gimesia	Gimesia panareensis
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia equisanguinis	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Devosia	Devosia equisanguinis
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Stappiaceae;Stappia;Stappia indica	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Stappia	Stappia indica
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus vallismortis	Bacteria	Bacteria_none	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus vallismortis
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Stappiaceae;Roseibium;Roseibium sediminis	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Roseibium	Roseibium sediminis
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter koseri	Bacteria	Bacteria_none	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter koseri
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Marinobacteraceae;Marinobacter;Marinobacter salarius	Bacteria	Bacteria_none	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	Marinobacter salarius
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Qipengyuania;Qipengyuania vesicularis	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Qipengyuania	Qipengyuania vesicularis
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;Ralstonia pickettii	Bacteria	Bacteria_none	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia pickettii
Bacteria;Bacteria_none;Bacteroidota;Saprospiria;Saprospirales;Haliscomenobacteraceae;Phaeodactylibacter;Phaeodactylibacter xiamenensis	Bacteria	Bacteria_none	Bacteroidota	Saprospiria	Saprospirales	Haliscomenobacteraceae	Phaeodactylibacter	Phaeodactylibacter xiamenensis
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus velezensis	Bacteria	Bacteria_none	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus velezensis
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas lalkuanensis	Bacteria	Bacteria_none	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas lalkuanensis
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassobaculaceae;Thalassobaculum;Thalassobaculum salexigens	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Thalassobaculaceae	Thalassobaculum	Thalassobaculum salexigens
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Hoeflea;Hoeflea halophila	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Hoeflea	Hoeflea halophila
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Hoeflea;Hoeflea prorocentri	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Hoeflea	Hoeflea prorocentri
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Cutibacterium;Cutibacterium acnes	Bacteria	Bacteria_none	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Peteryoungia;Peteryoungia desertarenae	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Peteryoungia	Peteryoungia desertarenae
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis;Sphingopyxis alaskensis	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis alaskensis
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae	Bacteria	Bacteria_none	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella dysenteriae
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae;Thalassospira;Thalassospira tepidiphila	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Thalassospiraceae	Thalassospira	Thalassospira tepidiphila
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia indica	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Devosia	Devosia indica
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	Bacteria	Bacteria_none	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;Shewanella submarina	Bacteria	Bacteria_none	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella submarina
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae;Simulacricoccus;Simulacricoccus ruber	Bacteria	Bacteria_none	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Simulacricoccus	Simulacricoccus ruber
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Silicimonas;Silicimonas algicola	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Silicimonas	Silicimonas algicola